dd,mm,zz,pp,departamento,municipio,punto de votacion,mujeres,hombres,total,mesas,comuna,dirección
15,004,00,01,CUNDINAMARCA,AGUA DE DIOS,IED SALESIANO MIGUEL UNIA,3530,3140,6670,20,,CR 8 NO 13-22 BARRIO CENTRO
15,004,00,02,CUNDINAMARCA,AGUA DE DIOS,CEN. CULTURAL ARMANDO RODRIGUEZ JIMENEZ,1670,1661,3331,10,,CALLE 13 NUM 9 50 CENTRO
15,007,00,00,CUNDINAMARCA,ALBAN,PUESTO CABECERA MUNICIPAL,2535,2665,5200,16,,CALLE 3 CON CARRERA 2 ESQ.
15,007,99,01,CUNDINAMARCA,ALBAN,COLEGIO CHIMBE,190,155,345,1,,VEREDA CHIMBE
15,010,00,01,CUNDINAMARCA,ANAPOIMA,POLIDEPORTIVO JULIO CESAR SANCHEZ,3806,3873,7679,23,,UNID. DEPORTIVA JULIO CESAR SA
15,010,00,02,CUNDINAMARCA,ANAPOIMA,CASA DE LA CULTURA,1490,1609,3099,10,,Cra 2 No 2 22 centro
15,010,99,01,CUNDINAMARCA,ANAPOIMA,LA PAZ,730,711,1441,4,,I.E DPTAL. PATIO BONITO
15,010,99,02,CUNDINAMARCA,ANAPOIMA,SAN ANTONIO,590,678,1268,4,,I.E.R.D SAN ANTONIO
15,013,00,00,CUNDINAMARCA,ANOLAIMA,PUESTO CABECERA MUNICIPAL,4496,4981,9477,29,,POLIDEPORTIVO MUNICIPAL
15,013,99,05,CUNDINAMARCA,ANOLAIMA,LA FLORIDA,845,866,1711,5,,SALÓN COMUNAL BARRIO CENTRO
15,013,99,07,CUNDINAMARCA,ANOLAIMA,CORRALEJAS,95,95,190,1,,SALON COMUNAL
15,013,99,09,CUNDINAMARCA,ANOLAIMA,REVENTONES,428,545,973,3,,SALON COMUNAL DE REVENTONES
15,016,00,01,CUNDINAMARCA,ARBELAEZ,CTRO COLISEO RAFAEL DIONISIO PARRA REYES,4637,4770,9407,29,,CLL 8 # 8-44 BA. CENTRO COLISEO RAFAEL DIONISIO P.
15,016,00,02,CUNDINAMARCA,ARBELAEZ,IE DEPARTAMENTAL JOHN F. KENNEDY,258,278,536,2,,AV. 7 # 9 - 101
15,019,00,00,CUNDINAMARCA,BELTRAN,PUESTO CABECERA MUNICIPAL,395,506,901,3,,ESC. MANUELA BELTRAN
15,019,99,01,CUNDINAMARCA,BELTRAN,PAQUILO,518,513,1031,3,,IE. JAIME DE NARVAEZ
15,019,99,50,CUNDINAMARCA,BELTRAN,PUERTO DE GRAMALOTAL,165,181,346,1,,ESC. RURAL JAIME DE NARVAEZ
15,022,00,00,CUNDINAMARCA,BITUIMA,PUESTO CABECERA MUNICIPAL,1193,1499,2692,9,,COL. JOSE MARIA VERGARA Y V
15,022,99,20,CUNDINAMARCA,BITUIMA,LA PLAZUELA,39,80,119,1,,I.E.D. JOSE MARIA VERGARA Y V SD PAJITAS
15,022,99,21,CUNDINAMARCA,BITUIMA,BOQUERON DE ILO (VDA RINCON SANTO),98,114,212,1,,SALON COMUNAL BOQUERON DE ILO
15,025,00,00,CUNDINAMARCA,BOJACA,PUESTO CABECERA MUNICIPAL,3787,3732,7519,23,,COLEGIO DEPARTAMENTAL NUESTRA SEÑORA DE LA GRACIA
15,029,00,00,CUNDINAMARCA,CABRERA,PUESTO CABECERA MUNICIPAL,1612,1967,3579,11,,CLL 4 No 1 - 00
15,029,99,80,CUNDINAMARCA,CABRERA,SALON COMUNAL,42,66,108,1,,PARQUE PRINCIPAL
15,030,00,00,CUNDINAMARCA,CACHIPAY,PUESTO CABECERA MUNICIPAL,4280,4576,8856,27,,CLL 3 No 5- 39 POLIDEPORTIVO MUNICIPAL
15,030,99,50,CUNDINAMARCA,CACHIPAY,PEÑA NEGRA,518,591,1109,4,,SALON COMUNAL PEÑA NEGRA
15,031,01,01,CUNDINAMARCA,CAJICA,ESCUELA EL MISTERIO,2699,3282,5981,18,,VEREDA RIO GRANDE SECTOR EL MISTERIO
15,031,01,02,CUNDINAMARCA,CAJICA,COLEGIO RINCON SANTO,2405,3985,6390,20,,VDA RIO GRANDE SECTOR RINCON SANTO
15,031,01,03,CUNDINAMARCA,CAJICA,COLEGIO PABLO HERRERA,3682,3465,7147,22,,VDA CHUNTAME
15,031,01,04,CUNDINAMARCA,CAJICA,I.E.D CAPELLANIA,1572,1279,2851,9,,CALLE 2 CARRERA 6 BARRIO LA CAPELLANIA
15,031,02,01,CUNDINAMARCA,CAJICA,COLISEO FORTALEZA DE PIEDRA,4756,1401,6157,19,,DIAGONAL 2 SUR COLISEO FORTALEZA DE PIEDRA
15,031,02,02,CUNDINAMARCA,CAJICA,CENTRO CULTURAL CAJICA,4814,3901,8715,27,,CALLE 1 No. 3E - 60 CENTRO CULTURAL DE CAJICA
15,031,02,03,CUNDINAMARCA,CAJICA,COLEGIO ANTONIO NARIÑO,3853,4295,8148,25,,VEREDA CANELON
15,031,02,04,CUNDINAMARCA,CAJICA,SALON COMUNAL LAS PALMAS,3004,1743,4747,15,,VEREDA CANELON SECTOR RIO FRIO LA PALMA
15,031,02,05,CUNDINAMARCA,CAJICA,SALON COMUNAL BARRIO GRANJITAS,991,812,1803,6,,CALLE 6A No. 9 E - 29 BARRIO GRAJITAS
15,031,02,06,CUNDINAMARCA,CAJICA,IED POMPILIO MARTINEZ,2696,2883,5579,17,,CARRERA 6A NO 1 47 SUR
15,031,02,07,CUNDINAMARCA,CAJICA,CLUB EDAD DE ORO,3411,3230,6641,20,,CARRERA 2 NO 1 SUR  2A SUR  226
15,031,02,08,CUNDINAMARCA,CAJICA,IE DEPARTAMENTAL SAN GABRIEL,473,409,882,3,,"CRA 6 # 7-138 SUR SECTOR EL CORTIJO,CANELON"
15,034,00,00,CUNDINAMARCA,CAPARRAPI,PUESTO CABECERA MUNICIPAL,2996,3379,6375,20,,PLAZA DE MERCADO
15,034,99,01,CUNDINAMARCA,CAPARRAPI,CAMBRAS,41,58,99,1,,ESC. RURAL
15,034,99,02,CUNDINAMARCA,CAPARRAPI,CANCHIMAY,86,155,241,1,,ESC. RURAL
15,034,99,03,CUNDINAMARCA,CAPARRAPI,CACERES,47,59,106,1,,ESC. RURAL
15,034,99,04,CUNDINAMARCA,CAPARRAPI,CORDOBA,80,116,196,1,,ESC. RURAL
15,034,99,05,CUNDINAMARCA,CAPARRAPI,EL CAMBULO,198,289,487,2,,CENTRO DE ACOPIO
15,034,99,06,CUNDINAMARCA,CAPARRAPI,EL DINDAL,208,247,455,2,,ESC. RURAL
15,034,99,07,CUNDINAMARCA,CAPARRAPI,LA AZAUNCHA,129,189,318,1,,POLIDEPORTIVO AZAUNCHA
15,034,99,08,CUNDINAMARCA,CAPARRAPI,SAN CARLOS,420,575,995,3,,CENTRO DE DESARROLLO COMUNITARIO
15,034,99,09,CUNDINAMARCA,CAPARRAPI,SAN PEDRO,467,575,1042,3,,SALON COMUNAL SAN PABLO
15,034,99,10,CUNDINAMARCA,CAPARRAPI,TATI,136,182,318,1,,CASETA COMUNAL
15,034,99,11,CUNDINAMARCA,CAPARRAPI,SAN RAMON ALTO,147,181,328,1,,ESC. RURAL
15,037,00,01,CUNDINAMARCA,CAQUEZA,COLISEO GERMAN ROJAS URREGO,4650,4924,9574,29,,CALLE 5 # 3-55 ESQUINA
15,037,00,02,CUNDINAMARCA,CAQUEZA,CONCENTRACION MARILANDA,2632,2740,5372,17,,ESQUINA CLL 5 CON CRA 3 (VIA AL CERRO DE MONRUTA)
15,037,98,01,CUNDINAMARCA,CAQUEZA,CARCEL,4,7,11,1,,CLL 2 No 4-30 PARQUE PRINCIPAL ALCALDIA CAQUEZA
15,037,99,01,CUNDINAMARCA,CAQUEZA,SALON COMUNAL GIRON DE BLANCOS,62,77,139,1,,VEREDA GIRON DE BLANCOS ZONA COLEGIO
15,040,00,00,CUNDINAMARCA,CARMEN DE CARUPA,PUESTO CABECERA MUNICIPAL,2707,3006,5713,18,,POLIDEPORTIVO MUNICIPAL
15,040,99,01,CUNDINAMARCA,CARMEN DE CARUPA,HATO,284,343,627,2,,SALON MULTIPLE INSPECCION HATO
15,040,99,02,CUNDINAMARCA,CARMEN DE CARUPA,SUCRE (CAPILLA DE SUCRE),70,94,164,1,,SALON MULTIPLE INSPECCION SUCRE
15,043,00,01,CUNDINAMARCA,COGUA,COLEGIO LAS VILLAS,5600,5251,10851,33,,COL. LAS VILLAS
15,043,00,02,CUNDINAMARCA,COGUA,POLIDEPORTIVO MUNICIPAL,2802,2938,5740,18,,COGUA SECTOR LOS SAUCES
15,043,99,01,CUNDINAMARCA,COGUA,VEREDA LA PLAZUELA,159,128,287,1,,VEREDA LA PLAZUELA CENTRO POBLADO
15,046,01,01,CUNDINAMARCA,COTA,IED ENRIQUE PARDO PARRA SD BACHILLERATO,3998,4434,8432,26,,VEREDA LA MOYA CAMELLON DE LAS FLORES
15,046,01,02,CUNDINAMARCA,COTA,IE DEPARTAMENTAL CAMILO TORRES,5660,3141,8801,27,,CARRERA 3 B CALLE 12 ESQUINA
15,046,01,03,CUNDINAMARCA,COTA,IE DEPARTAMENTAL PARCELAS,947,2270,3217,10,,VEREDA PARCELAS SECTOR EL RESBALON
15,046,02,01,CUNDINAMARCA,COTA,I.E.PUEBLO VIEJO,2752,3085,5837,18,,VEREDA PUEBLO VIEJO
15,046,02,02,CUNDINAMARCA,COTA,I.E LA MOYA,2367,2506,4873,15,,VEREDA LA MOYA
15,049,00,01,CUNDINAMARCA,CUCUNUBA,POLIDEPORTIVO MUNICIPAL,1913,2040,3953,12,,POLIDEPORTIVO MUNICIPAL
15,049,00,02,CUNDINAMARCA,CUCUNUBA,CENTRO  INTERACTIVO CULTURAL CILAB,477,423,900,3,,CRA 4 No 4-49
15,049,99,40,CUNDINAMARCA,CUCUNUBA,PEÑAS (LA PLUMA),254,287,541,2,,SALON COMUNAL PEÑAS
15,052,00,00,CUNDINAMARCA,CHAGUANI,PUESTO CABECERA MUNICIPAL,1835,2259,4094,13,,CENTRO DE INTEGRACION CIUDADANA CIC CLL 1 No 4-39
15,055,01,01,CUNDINAMARCA,CHIA,INST. EDUC. DIVERSIFICADA SANTA LUCIA,5176,4050,9226,28,,CALLE 4 No 10-94
15,055,01,02,CUNDINAMARCA,CHIA,COLEGIO NACIONAL DIVERSIFICADO,4872,6021,10893,33,,CARRERA 6 No 8-18
15,055,01,03,CUNDINAMARCA,CHIA,COLEGIO STELLA MATUTINA,4102,2447,6549,20,,CARRERA 10  No. 6-53
15,055,01,04,CUNDINAMARCA,CHIA,COLEGIO MARIA AUXILIADORA,3118,3797,6915,21,,CRA 9 No 10-51
15,055,01,05,CUNDINAMARCA,CHIA,VEREDA LA BALSA,1295,1176,2471,8,,INSTITUCION EDUCATIVA LA BALSA
15,055,01,06,CUNDINAMARCA,CHIA,INSTITUCION EDUCATIVA CERCA DE PIEDRA,1113,1030,2143,7,,VEREDA CERCA DE PIEDRA KILOMETRO 2 VIA CHIA - COTA
