,MUNICIPIO,MESAS,Testigos,VOTANTES,MESAS POR TESTIGO,META,TESTIGOS A CONSEGUIR
,COTA,96,82,31160,1.2,7000,
,FUNZA,250,46,80065,5.4,4000,17
,FACATATIVA,325,310,104175,1,3000,
,SOACHA,1036,61,339995,17,3000,198
,CHIA,360,36,120600,10,2000,54
,ZIPAQUIRA,336,27,110079,12.4,2000,57
,GIRARDOT,267,39,87859,6.8,1800,28
,MADRID,273,104,88351,2.6,1600,
,CAJICA,201,3,65041,67,1500,47
,LA VEGA,44,42,14488,1,1500,
,TENJO,58,57,19154,1,1500,
,TABIO,58,7,18715,8.3,1300,8
,FUSAGASUGA,372,169,122077,2.2,1200,
,LA MESA,87,9,27969,9.7,1200,13
,MOSQUERA,292,26,95183,11.2,1200,47
,UTICA,16,15,5095,1.1,1200,
,VILLETA,81,42,25365,1.9,1200,
,GUADUAS,77,15,22959,5.1,1000,4
,SOPO,65,15,20770,4.3,1000,1
,TOPAIPI,14,3,4509,4.7,1000,1
,UBATE,119,0,37178,119,1000,30
,RICAURTE,40,2,12965,20,900,8
,CHOCONTA,53,13,17107,4.1,800,0
,EL COLEGIO,73,9,23977,8.1,800,9
,NILO,20,20,6502,1,800,
,SAN JUAN DE RIOSECO,30,15,9293,2,800,
,ALBAN,17,10,5545,1.7,700,
,ANAPOIMA,41,29,13487,1.4,700,
,ANOLAIMA,38,14,12351,2.7,700,
,GUASCA,38,11,12364,3.5,700,
,PASCA,26,11,8587,2.4,700,
,TOCAIMA,41,11,13307,3.7,700,
,BOJACA,23,23,7519,1,600,
,LA CALERA,80,14,25398,5.7,600,6
,PUERTO SALGAR,42,7,13515,6,600,4
,QUEBRADANEGRA,14,9,4380,1.6,600,
,SASAIMA,30,9,9608,3.3,600,
,TOCANCIPA,126,4,40247,31.5,600,28
,COGUA,52,10,16878,5.2,550,3
,TAUSA,21,3,6385,7,550,2
,APULO,23,2,7408,11.5,500,4
,CACHIPAY,31,15,9965,2.1,500,
,GRANADA,21,11,6720,1.9,500,
,PACHO,75,18,23708,4.2,500,1
,PARATEBUENO (LA NAGUAYA),26,14,7847,1.9,500,
,SAN ANTONIO DEL TEQUENDAMA,28,10,9510,2.8,500,
,SIBATE,89,35,28234,2.5,500,
,SIMIJACA,33,8,10353,4.1,500,0
,TENA,24,0,7957,null,500,6
,VIOTA,39,16,12162,2.4,500,
,AGUA DE DIOS,30,16,10001,1.9,400,
,GACHANCIPA,38,15,12669,2.5,400,
,JUNIN,18,0,5499,null,400,5
,NIMAIMA,12,0,3485,null,400,3
,SILVANIA,62,17,20336,3.6,400,
,VIANI,14,2,4430,7,400,2
,EL ROSAL,61,18,20092,3.4,350,
,GACHALA,19,10,5309,1.9,350,
,PANDI,14,0,4431,null,350,4
,UBALA,35,1,8911,35,350,8
,VENECIA,14,7,3876,2,350,
,BITUIMA,11,2,3023,5.5,300,1
,GACHETA,29,0,9050,null,300,7
,GUACHETA,30,18,9599,1.7,300,
,GUAYABAL DE SIQUIMA,16,0,4604,null,300,4
,LA PALMA,28,28,8561,1,300,
,NEMOCON,35,7,11406,5,300,2
,SAN FRANCISCO,32,16,9772,2,300,
,SESQUILE,30,0,9646,null,300,8
,UBAQUE,20,0,6364,null,300,5
,ZIPACON,13,10,4387,1.3,300,
,CHAGUANI,13,3,4094,4.3,250,0
,CUCUNUBA,17,3,5394,5.7,250,1
,LENGUAZAQUE,24,9,7635,2.7,250,
,MACHETA,20,0,6670,null,250,5
,QUETAME,18,0,5916,null,250,5
,SUTATAUSA,14,8,4336,1.8,250,
,UNE,23,8,6917,2.9,250,
,VILLAGOMEZ,8,4,2230,2,250,
,GUATAQUI,9,0,2802,null,220,2
,CABRERA,12,5,3687,2.4,200,
,CAPARRAPI,37,9,10960,4.1,200,0
,CARMEN DE CARUPA,21,0,6504,null,200,5
,FUQUENE,13,3,4312,4.3,200,0
,GUATAVITA,17,0,5645,null,200,4
,GUAYABETAL,15,4,4776,3.8,200,
,JERUSALEN,9,2,2873,4.5,200,0
,MANTA,13,3,4101,4.3,200,0
,NOCAIMA,17,10,5445,1.7,200,
,QUIPILE,21,9,6286,2.3,200,
,SAN BERNARDO,25,4,8031,6.3,200,2
,SUBACHOQUE,41,3,13231,13.7,200,7
,SUESCA,38,0,11887,null,200,10
,TIBACUY,15,6,4558,2.5,200,
,VILLAPINZON,45,6,14656,7.5,200,5
,YACOPI,39,9,11173,4.3,200,1
,ARBELAEZ,31,0,9943,null,150,8
,CHIPAQUE,26,5,8624,5.2,150,2
,EL PEÑON,15,2,4653,7.5,150,2
,MEDINA,26,14,7047,1.9,150,
,NARIÑO,9,9,2949,1,150,
,PAIME,16,1,5243,16,150,3
,PULI,12,3,2914,4,150,
,SAN CAYETANO,17,0,4594,null,150,4
,SUPATA,15,0,4753,null,150,4
,CAQUEZA,48,10,15096,4.8,120,2
,BELTRAN,7,3,2278,2.3,100,
,CHOACHI,38,3,12241,12.7,100,7
,FOMEQUE,32,3,10062,10.7,100,5
,FOSCA,18,0,5689,null,100,5
,LA PEÑA,20,1,6159,20,100,4
,SUSA,17,2,5677,8.5,100,2
,TIBIRITA,10,1,3069,10,100,2
,VERGARA,24,0,7381,null,100,6
,GAMA,10,0,3192,null,80,3
,GUTIERREZ,9,0,2930,null,40,2
